PCDS,LAD20CD,N_UPRNS,UPRN_PROP,UPRN_PROP_RANK,TIER,TIER_DIFF
AL10 9RF,E07000241,6,0.857142857142857,1,2,0
AL10 9RF,E07000240,1,0.142857142857143,2,2,0
AL2 1AB,E07000240,40,0.952380952380952,1,2,0
AL2 1AB,E07000098,2,0.0476190476190476,2,2,0
AL2 1BA,E07000240,6,0.6,1,2,0
AL2 1BA,E07000098,4,0.4,2,2,0
AL2 1BB,E07000098,34,0.894736842105263,1,2,0
AL2 1BB,E07000240,4,0.105263157894737,2,2,0
AL2 1BG,E07000240,39,0.975,1,2,0
AL2 1BG,E07000098,1,0.025,2,2,0
AL2 1DA,E07000240,7,0.636363636363636,1,2,0
AL2 1DA,E07000098,4,0.363636363636364,2,2,0
AL2 2EN,E07000240,29,0.966666666666667,1,2,0
AL2 2EN,E07000098,1,0.0333333333333333,2,2,0
AL2 3UW,E07000240,60,0.983606557377049,1,2,0
AL2 3UW,E07000102,1,0.0163934426229508,2,2,0
AL2 3UZ,E07000102,2,0.666666666666667,1,2,0
AL2 3UZ,E07000240,1,0.333333333333333,2,2,0
AL2 3XS,E07000240,17,0.944444444444444,1,2,0
AL2 3XS,E07000098,1,0.0555555555555556,2,2,0
AL2 3XU,E07000240,20,0.952380952380952,1,2,0
AL2 3XU,E07000098,1,0.0476190476190476,2,2,0
AL3 7AW,E07000096,7,0.636363636363636,1,2,0
AL3 7AW,E07000240,4,0.363636363636364,2,2,0
AL3 7DH,E07000240,16,0.64,1,2,0
AL3 7DH,E07000096,9,0.36,2,2,0
AL3 7JD,E07000240,51,0.980769230769231,1,2,0
AL3 7JD,E07000096,1,0.0192307692307692,2,2,0
AL3 7PU,E07000240,5,0.625,1,2,0
AL3 7PU,E07000096,3,0.375,2,2,0
AL3 8ES,E07000240,5,0.555555555555556,1,2,0
AL3 8ES,E07000096,4,0.444444444444444,2,2,0
AL3 8EX,E07000240,11,0.647058823529412,1,2,0
AL3 8EX,E07000096,6,0.352941176470588,2,2,0
AL3 8EY,E07000240,10,0.909090909090909,1,2,0
AL3 8EY,E07000096,1,0.0909090909090909,2,2,0
AL3 8HA,E07000096,23,0.958333333333333,1,2,0
AL3 8HA,E07000240,1,0.0416666666666667,2,2,0
AL3 8QE,E06000056,6,0.857142857142857,1,2,0
AL3 8QE,E07000096,1,0.142857142857143,2,2,0
AL4 0HW,E07000240,10,0.909090909090909,1,2,0
AL4 0HW,E07000241,1,0.0909090909090909,2,2,0
AL4 0NE,E07000240,9,0.818181818181818,1,2,0
AL4 0NE,E07000241,2,0.181818181818182,2,2,0
AL4 0NJ,E07000098,10,0.588235294117647,1,2,0
AL4 0NJ,E07000240,7,0.411764705882353,2,2,0
AL4 0NY,E07000241,11,0.916666666666667,1,2,0
AL4 0NY,E07000240,1,0.0833333333333333,2,2,0
AL4 0NZ,E07000240,3,0.6,1,2,0
AL4 0NZ,E07000241,2,0.4,2,2,0
AL4 0PD,E07000098,6,0.75,1,2,0
AL4 0PD,E07000240,2,0.25,2,2,0
AL4 0PG,E07000098,39,0.906976744186047,1,2,0
AL4 0PG,E07000240,4,0.0930232558139535,2,2,0
AL4 0PJ,E07000240,4,0.666666666666667,1,2,0
AL4 0PJ,E07000241,2,0.333333333333333,2,2,0
AL4 0QR,E07000241,32,0.888888888888889,1,2,0
AL4 0QR,E07000240,4,0.111111111111111,2,2,0
AL4 0QS,E07000241,22,0.733333333333333,1,2,0
AL4 0QS,E07000240,8,0.266666666666667,2,2,0
AL4 0RY,E07000240,16,0.842105263157895,1,2,0
AL4 0RY,E07000098,3,0.157894736842105,2,2,0
AL4 0RZ,E07000241,8,0.8,1,2,0
AL4 0RZ,E07000240,2,0.2,2,2,0
AL4 8EP,E07000240,17,0.944444444444444,1,2,0
AL4 8EP,E07000241,1,0.0555555555555556,2,2,0
AL4 8ET,E07000240,8,0.8,1,2,0
AL4 8ET,E07000241,2,0.2,2,2,0
AL4 8LA,E07000240,19,0.655172413793103,1,2,0
